"  校門口
,# 546,"德州牛仔
Ride ‘em Cowboy
(舊名：騎馬)",5.12b,運攀 | Sport,21 m,"張登榮
Deng-Jung Chang",,,●●●,Ti-TW,Ti-TW,316-TW,Ti-TW,316-TW,316-TW,,,,,,,,,,,,,316-TW,Ti-TW,,A02不裝鋼環,8,已拉測,2020 / 06 / 10 (週三),"[Pulltest]20610全線測試,bolt已清點(小嵐)
2006 Bolt安裝日期待查 (預設為1月1日)"
,,,,,,,,,,2017 / 04 / 25,2017 / 04 / 25,2006,2017 / 04 / 25,2006,2006,,,,,,,,,,,,,2006,2017 / 04 / 25,,,,,,
,,,,,,,,,,8 年,8 年,19 年,8 年,19 年,19 年,,,,,,,,,,,,,19 年,8 年,,,,,,
,,,,,,,,,,,,2020 / 06 / 10,,2020 / 06 / 10,2020 / 06 / 10,,,,,,,,,,,,,2020 / 06 / 10,2020 / 06 / 10,,,,,,
,# 546.1,"地藏王
Déjà vu
(舊名：轉世)",5.11c,運攀 | Sport,12 m,,,"《前進龍洞岩場》有收錄
《RCT》未收錄",●●●,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 547,"輪迴 P1
Reincarnation | P1",5.10c,運攀 | Sport,12 m,,,,●●●,316-TW,316-TW,316-TW,,,,,,,,,,,,,,,,316-TW,316-TW,梅隆鎖-316,,5,已拉測,2020 / 06 / 10 (週三),"[Pulltest]20610全線測試,bolt已清點(Michael)
(輪迴一般皆爬至此處)
Bolt安裝日期待查 (預設為1月1日)
–
181007拉測B02 合格 - 8 kN / 1 min / ×5次 (老爹、小嵐、小魏)"
,,,,,,,,,,2006,2006,2006,,,,,,,,,,,,,,,,2006,2006,數量 x6 ,,,,,
,,,,,,,,,,19 年,19 年,19 年,,,,,,,,,,,,,,,,,,待查,,,,,
,,,,,,,,,,2020 / 06 / 10,2020 / 06 / 10,2020 / 06 / 10,,,,,,,,,,,,,,,,2020 / 06 / 10,2020 / 06 / 10,,,,,,
,,,,,,,,,,,2018 / 10 / 27,,,,,,,,,,,,,,,,,,,,,,,,
,# 547.1,"輪迴 P2
Reincarnation | P2",5.9,運攀 | Sport,9 m,,,,●●●,316-TW,316-TW,316-TW,,,,,,,,,,,,,,,,316-TW,316-TW,梅隆鎖-316,垂降環-316,5,已拉測,2020 / 06 / 10 (週三),"[Pulltest]20610全線測試,bolt已清點(Michael)
Bolt安裝日期待查 (預設為1月1日)"
,,,,,,,,,,2006(待查),2006(待查),2006(待查),,,,,,,,,,,,,,,,2006(待查),2006(待查),數量 x2 ,數量 x2 ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020 / 03 / 01,2020 / 03 / 01,,,,
,,,,,,,,,,2020 / 06 / 10,2020 / 06 / 10,2020 / 06 / 10,,,,,,,,,,,,,,,,2020 / 06 / 10,2020 / 06 / 10,5 年,5 年,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 548,"牛魔內角
Bull King Dihedral",5.7,傳攀 | Trad,21 m,,,與 <輪迴> 共用Top Anchor,●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 549,Oh No!,5.11c,運攀 | Sport,15 m,"吳彥儀
Yen-Yi Wu",,,●●●,316-TW,316-TW,316-TW,316-TW,316-TW,316-TW,,,,,,,,,,,,,316-TW,316-TW,梅隆鎖-316,垂降環-316,8,已拉測,2025 / 08 / 08 (週五),"[Pulltest]20250808全線測試共10顆 (金龍、孟樵)
Bolt安裝日期待查 (預設為1月1日)"
,,,,,,,,,,2006,2006,2006,2006,2006,2006,,,,,,,,,,,,,2006,2006,數量 x2 ,數量 x2 ,,,,
,,,,,,,,,,19 年,19 年,19 年,19 年,19 年,19 年,,,,,,,,,,,,,19 年,19 年,2020 / 03 / 01,2020 / 03 / 01,,,,
,,,,,,,,,,2025 / 08 / 08,2025 / 08 / 08,2025 / 08 / 08,2025 / 08 / 08,2025 / 08 / 08,2025 / 08 / 08,,,,,,,,,,,,,2025 / 08 / 08,2025 / 08 / 08,,,,,,
,,,,,,,,,,2021 / 03 / 14,2021 / 03 / 14,2021 / 03 / 14,2021 / 03 / 14,2021 / 03 / 14,2021 / 03 / 14,,,,,,,,,,,,,2021 / 03 / 14,2021 / 03 / 14,5 年,5 年,,,,
,,,,,,,,,,2018 / 10 / 27,,,,,,,,,,,,,,,,,,,,,,,,,
